id_cliente,cedula,first_name,last_name,fecha_nac
1,19456173,Rebekkah,Cecil,2000-05-14
2,70337257,Gerald,Gossling,1968-02-21
3,92054369,Cchaddie,Dy,1980-12-08
4,32433153,Angelika,Ovid,1981-10-16
5,15324807,Perle,Chainey,2006-06-18
6,82473264,Jessie,McOnie,1964-03-07
7,79301151,Klara,Bentz,1950-12-26
8,89637497,Trudi,Dwine,1978-01-16
9,96661394,Masha,Caldicott,1978-08-05
10,71409267,Palmer,Kick,1986-10-19
11,91814865,Easter,Markwick,1952-12-26
12,39812693,Nollie,Easseby,1989-12-08
13,55725330,Lyndsie,Roebuck,1970-09-01
14,30729182,Fanni,Twopenny,1965-12-22
15,59924684,Melisa,Ajsik,1977-02-23
16,04768607,Gare,Vauls,1987-05-22
17,21058444,Nealy,Hanstock,1962-05-10
18,26787380,Ana,Cracie,1997-09-20
19,21937572,Janna,Nixon,1977-01-17
20,03688253,Franklyn,Crux,1964-12-28
21,93490017,Kacie,Mundie,1984-05-25
22,11948294,Esther,Tregenna,1952-02-04
23,36965695,Dorine,Espinal,1994-08-01
24,04980308,Rahel,Gaymer,1950-05-20
25,05769620,Marci,Semon,1956-10-26
26,53597088,Amelina,McAless,1985-05-12
27,65546348,Cedric,Rapsey,1977-11-21
28,86500702,Beck,Goroni,2004-10-11
29,26555648,Brenda,Withnall,1962-04-06
30,16679853,Tye,Goaks,1975-04-12
31,89729831,Keven,Firminger,1968-12-27
32,55117490,Misti,Benedict,1975-07-05
33,79479914,Nester,Fawcus,1965-04-07
34,09504489,Louella,Meeron,1987-10-01
35,40404505,Cristina,Kelsey,2004-07-20
36,31244738,Paula,O'Doogan,1950-11-08
37,73092740,Phil,Aubery,2007-02-01
38,65487240,Farleigh,Penney,1968-11-11
39,90247518,Schuyler,Sergent,1957-09-26
40,99208307,Fee,McLice,1990-06-28
41,03375317,Ermin,Danser,1974-11-30
42,62385570,Hervey,McInteer,1985-01-28
43,50019464,Carita,Traske,1982-01-16
44,26125548,Tricia,Addess,1952-02-06
45,51056634,Taryn,Breheny,1983-06-22
46,70340372,Jessalyn,Pirolini,1991-05-08
47,84678994,Shell,Obey,2004-08-24
48,28129333,Warner,Sheepy,1972-09-23
49,63158603,Tamarah,Crosscombe,1996-06-27
50,19121294,Moreen,Buttner,1962-12-05
51,07273246,Suzette,Kelsall,1958-01-15
52,05531753,Mitchel,Childs,1974-07-01
53,19286057,Fanchon,Dukes,1951-07-27
54,88994855,Kessia,Bimson,1978-06-20
55,83410389,Connie,Shearman,1999-10-06
56,77529455,Barbara,Narramore,1974-05-16
57,22806635,Sheridan,Ianelli,1972-02-09
58,15074788,Janith,Scrivens,1982-10-08
59,70189305,Kimmi,McIntosh,1950-11-14
60,93985205,Cad,Buss,1978-06-13
61,23404150,Joye,Rennox,1968-01-02
62,70375472,Tracie,Bullock,1966-10-07
63,74565668,Elinore,Voce,1996-10-22
64,38789829,Angeli,Presslee,1950-03-13
65,49309087,Percival,Matthisson,1951-03-15
66,88570812,Wit,Bortoletti,1965-07-03
67,13441225,Janina,Seak,1986-10-19
68,94837226,Brice,Ruzic,2005-05-30
69,18909687,Marni,Ribou,2003-11-25
70,84781921,Quinn,Somerset,1957-05-29
71,07518676,Ryann,McGauhy,1998-10-07
72,22507270,Aylmer,Kinkaid,1978-10-27
73,04613744,Dniren,Coplestone,1983-03-08
74,08198257,Ottilie,Jirieck,1997-12-02
75,69280673,Jermaine,Flavelle,1968-07-29
76,97559943,Teddie,Mackrell,1987-07-18
77,63367363,Giacomo,Tschierse,1958-01-12
78,31183758,Daria,Gladhill,1994-02-11
79,78801596,Bertrand,Mattityahou,1994-08-01
80,71778970,Alvis,Haeslier,1958-05-01
81,31128538,Hart,Bogace,1990-02-24
82,81871411,Sylvia,Ionesco,1973-05-23
83,54586815,Malachi,Feetham,1960-02-25
84,36142770,Corri,Pomfrey,2002-02-03
85,98711509,Tomlin,Drage,1986-09-07
86,62435510,Evy,Swainger,1989-09-15
87,00881926,Horton,Wilbud,1956-06-18
88,52240129,Tiffie,Rumke,1987-12-22
89,18619716,Minna,Brannon,1989-09-07
90,08801561,Kissee,Wigfield,1951-07-06
91,31297200,Dene,Hannigan,1950-04-03
92,21083270,Hatti,Scintsbury,1978-05-02
93,73581549,Bordy,Carter,2000-10-02
94,77489500,Hillery,Warlow,1981-10-11
95,25864843,Faustine,Hussell,1992-12-27
96,91124877,Joellen,Deeble,1978-11-28
97,26289091,Cissy,Batalle,1993-04-02
98,92683232,Frayda,Farrants,1984-04-24
99,08388648,Braden,Wyndham,1968-08-14
100,60750403,Dolores,Mahood,1991-06-13
